Numero|FIFADisplayName|Country|LastName|FirstName|ShirtName|POS|Height|Caps|Goals
5|Jan BEDNAREK|Poland|BEDNAREK|Jan Kacper|BEDNAREK|DF|189|3|0
5|Krzysztof MACZYNSKI|Poland|MACZYNSKI|Krzysztof|MACZYNSKI|MF|175|0|0
6|Jacek GORALSKI|Poland|GORALSKI|Jacek|GORALSKI|MF|172|5|0
7|Arkadiusz MILIK|Poland|MILIK|Arkadiusz Krystian|MILIK|FW|186|40|12
8|Karol LINETTY|Poland|LINETTY|Karol|LINETTY|MF|176|20|1
9|Robert LEWANDOWSKI|Poland|LEWANDOWSKI|Robert|LEWANDOWSKI|FW|185|95|55
10|Grzegorz KRYCHOWIAK|Poland|KRYCHOWIAK|Grzegorz|KRYCHOWIAK|MF|186|51|2
11|Kamil GROSICKI|Poland|GROSICKI|Kamil Pawel|GROSICKI|MF|180|57|12
12|Bartosz BIALKOWSKI|Poland|BIALKOWSKI|Bartosz Marek|BIALKOWSKI|GK|194|1|0
13|Maciej RYBUS|Poland|RYBUS|Maciej|RYBUS|MF|173|51|2
14|Lukasz TEODORCZYK|Poland|TEODORCZYK|Lukasz|TEODORCZYK|FW|185|17|4
15|Kamil GLIK|Poland|GLIK|Kamil|GLIK|DF|190|58|4
16|Jakub BLASZCZYKOWSKI|Poland|BŁASZCZYKOWSKI|Jakub|BLASZCZYKOWSKI|MF|175|99|20
17|Slawomir PESZKO|Poland|PESZKO|Slawomir Konrad|PESZKO|MF|173|43|2
18|Bartosz BERESZYNSKI|Poland|BERESZYNSKI|Bartosz|BERESZYNSKI|DF|182|8|0
19|Piotr ZIELINSKI|Poland|ZIELINSKI|Piotr Sebastian|ZIELINSKI|MF|177|33|5
20|Lukasz PISZCZEK|Poland|PISZCZEK|Lukasz Piotr|PISZCZEK|DF|184|63|3
21|Rafal KURZAWA|Poland|KURZAWA|Rafal Maciej|KURZAWA|MF|182|3|0
22|Lukasz FABIANSKI|Poland|FABIAŃSKI|Lukasz|FABIANSKI|GK|190|45|0
23|Dawid KOWNACKI|Poland|KOWNACKI|Dawid Igor|KOWNACKI|FW|185|2|1
1|RUI PATRICIO|Portugal|DOS SANTOS PATRÍCIO|Rui Pedro|RUI PATRICIO|GK|189|69|0
2|BRUNO ALVES|Portugal|REGUFE ALVES|Bruno Eduardo|B. ALVES|DF|187|96|11
3|PEPE|Portugal|DE LIMA FERREIRA|Kepler Laveran|PEPE|DF|188|95|5
4|MANUEL FERNANDES|Portugal|TAVARES FERNANDES|Manuel Henrique|M. FERNANDES|MF|174|14|3
5|RAPHAEL GUERREIRO|Portugal|GUERREIRO|Raphael Adelino José|RAPHAEL|DF|170|24|2
6|JOSE FONTE|Portugal|DA ROCHA FONTE|José Miguel|FONTE|DF|191|31|0
7|CRISTIANO RONALDO|Portugal|DOS SANTOS AVEIRO|Cristiano Ronaldo|RONALDO|FW|185|150|81
8|JOAO MOUTINHO|Portugal|IRIA SANTOS MOUTINHO|João Filipe|J. MOUTINHO|MF|170|110|7
9|ANDRE SILVA|Portugal|VALENTE DA SILVA|André Miguel|ANDRÉ SILVA|FW|184|22|12
10|JOAO MARIO|Portugal|NAVAL DA COSTA EDUARDO|João Mário|J. MÁRIO|MF|179|36|2
11|BERNARDO SILVA|Portugal|MOTA VEIGA DE CARVALHO ESILVA|Bernardo|BERNARDO|MF|173|25|2
12|ANTHONY LOPES|Portugal|LOPES|Anthony|LOPES|GK|184|7|0
13|RUBEN DIAS|Portugal|DOS SANTOS GATO ALVES DIAS|Rúben|RUBEN DIAS|DF|187|1|0
14|WILLIAM|Portugal|SILVA DE CARVALHO|William|WILLIAM|MF|190|43|2
15|RICARDO|Portugal|BARBOSA PEREIRA|Ricardo Domingos|RICARDO|DF|174|4|0
16|BRUNO FERNANDES|Portugal|BORGES FERNANDES|Bruno Miguel|B. FERNANDES|MF|183|6|1
17|GONCALO GUEDES|Portugal|GANCHINHO GUEDES|Gonçalo Manuel|G. GUEDES|FW|179|10|3
18|GELSON MARTINS|Portugal|BATALHA MARTINS|Gelson Dany|GELSON|FW|173|18|0
19|MARIO RUI|Portugal|SILVA DUARTE|Mário Rui|MÁRIO RUI|DF|168|4|0
20|RICARDO QUARESMA|Portugal|ANDRADE QUARESMA BERNARDO|Ricardo|QUARESMA|FW|175|77|9
21|CEDRIC|Portugal|ALVES SOARES|Cédric Ricardo|CÉDRIC|DF|172|29|1
22|BETO|Portugal|BASTOS PIMPAREL|António Alberto|BETO|GK|183|14|0
23|ADRIEN SILVA|Portugal|PERRUCHET DA SILVA|Adrien Sébastien|ADRIEN|MF|176|24|1
1|Igor AKINFEEV|Russia|AKINFEEV|Igor|AKINFEEV|GK|185|107|0
2|MARIO FERNANDES|Russia|FIGUEIRA FERNANDES|Mario|FERNANDES|DF|187|6|0
3|Ilya KUTEPOV|Russia|KUTEPOV|Ilya|KUTEPOV|DF|190|8|0
4|Sergey IGNASHEVICH|Russia|IGNASHEVICH|Sergey|IGNASHEVICH|DF|186|123|9
5|Andrey SEMENOV|Russia|SEMENOV|Andrey|SEMENOV|DF|191|6|0
6|Denis CHERYSHEV|Russia|CHERYSHEV|Denis|CHERYSHEV|MF|173|12|2
7|Daler KUZIAEV|Russia|KUZIAEV|Daler|KUZIAEV|MF|182|7|0
8|Iury GAZINSKY|Russia|GAZINSKII|Iurii|GAZINSKII|MF|180|7|1
9|Alan DZAGOEV|Russia|DZAGOEV|Alan|DZAGOEV|MF|178|58|9
10|Fedor SMOLOV|Russia|SMOLOV|Fedor|SMOLOV|FW|185|33|12
11|Roman ZOBNIN|Russia|ZOBNIN|Roman|ZOBNIN|MF|185|13|0
12|Andrei LUNEV|Russia|LUNEV|Andrei|LUNEV|GK|189|3|0
13|Fedor KUDRIASHOV|Russia|KUDRIASHOV|Fedor|KUDRIASHOV|DF|187|19|0
14|Vladimir GRANAT|Russia|GRANAT|Vladimir|GRANAT|DF|184|12|1
15|Alexey MIRANCHUK|Russia|MIRANCHUK|Alexey|AL MIRANCHUK|MF|185|18|4
16|Anton MIRANCHUK|Russia|MIRANCHUK|Anton|AN MIRANCHUK|MF|182|6|0
17|Aleksandr GOLOVIN|Russia|GOLOVIN|Aleksandr|GOLOVIN|MF|178|20|3
18|Yury ZHIRKOV|Russia|ZHIRKOV|Yury|ZHIRKOV|MF|180|85|2
19|Alexander SAMEDOV|Russia|SAMEDOV|Alexander|SAMEDOV|MF|178|49|7
20|Vladimir GABULOV|Russia|GABULOV|Vladimir|GABULOV|GK|190|10|0
21|Aleksandr EROKHIN|Russia|EROKHIN|Aleksandr|EROKHIN|MF|191|17|0
22|Artem DZYUBA|Russia|DZYUBA|Artem|DZYUBA|FW|196|24|12
23|Igor SMOLNIKOV|Russia|SMOLNIKOV|Igor|SMOLNIKOV|DF|179|27|0
1|ABDULLAH ALMUAIOUF|Saudi Arabia|ALMUAIOUF|Abdullah Ibrahim A|ABDULLAH|GK|178|9|0
2|MANSOUR ALHARBI|Saudi Arabia|ALHARBI|Mansour|MANSOUR|DF|173|39|1
3|OSAMA HAWSAWI|Saudi Arabia|HAWSAWI|Osama Abdulrzag M|OSAMA|DF|188|136|7
4|ALI ALBULAYHI|Saudi Arabia|ALBULAYHI|Ali Hadi M|ALI|DF|182|4|0
5|OMAR HAWSAWI|Saudi Arabia|HAWSAWI|Omar Ibrahim O|OMAR|DF|185|41|3
6|MOHAMMED ALBURAYK|Saudi Arabia|ALBURAYK|Mohammed Ibrahim M|ALBURAYK|DF|173|10|0
7|SALMAN ALFARAJ|Saudi Arabia|ALFARAJ|Salman Mohammed M|SALMAN|MF|179|40|2
8|YAHIA ALSHEHRI|Saudi Arabia|ALSHEHRI|Yahia Sulaiman Ali|YAHIA|MF|165|57|7
9|HATAN BAHBRI|Saudi Arabia|BAHBRI|Hatan Sultan|HATAN|MF|170|6|0
10|MOHAMMED ALSAHLAWI|Saudi Arabia|ALSAHLAWI|Mohammed IbrahimMohammad|ALSAHLAWI|FW|179|41|28
11|ABDULMALEK ALKHAIBRI|Saudi Arabia|ALKHAIBRI|Abdulmalek Abdullah A|ABDULMALEK|MF|177|33|0
12|MOHAMED KANNO|Saudi Arabia|KANNO|Mohamed Ibrahim A|KANNO|MF|192|6|1
13|YASSER ALSHAHRANI|Saudi Arabia|ALSHAHRANI|Yasir Gharsan S|YASSER|DF|170|36|0
14|ABDULLAH OTAYF|Saudi Arabia|OTAYF|Abdullah Ibrahim I|OTAYF|MF|177|14|1
15|ABDULLAH ALKHAIBARI|Saudi Arabia|ALKHAIBARI|Abdullah Mohammed|ALKHAIBARI|MF|175|5|0
16|HUSSAIN ALMOQAHWI|Saudi Arabia|ALMOQAHWI|Hussain Ali J|HUSSAIN|MF|174|16|1
17|TAISEER ALJASSAM|Saudi Arabia|ALJASSAM|Taiseer Jaber|TAISEER|MF|169|133|19
18|SALEM ALDAWSARI|Saudi Arabia|ALDAWSARI|Salem Mohammed S|SALEM|MF|174|32|4
19|FAHAD ALMUWALLAD|Saudi Arabia|ALMUWALLAD ALHARBI|Fhad Mosaed|FAHAD|FW|168|46|10
20|MUHANNAD ASIRI|Saudi Arabia|ABU RADIYAH|Muhannad Ahmed|MUHANNAD|FW|185|18|4
21|YASSER ALMOSAILEM|Saudi Arabia|ALMOSAILEM|Yasser Abdullah N|ALMOSAILEM|GK|186|32|0
22|MOHAMMED ALOWAIS|Saudi Arabia|ALOWAIS|Mohammed|ALOWAIS|GK|187|6|0
23|MOTAZ HAWSAWI|Saudi Arabia|HAWSAWI|Motaz Ali Hassan|MOTAZ|DF|180|16|0
1|Abdoulaye DIALLO|Senegal|DIALLO|Abdoulaye|DIALLO|GK|189|16|0
2|Saliou CISS|Senegal|CISS|Saliou|CISS|DF|173|18|0
3|Kalidou KOULIBALY|Senegal|KOULIBALY|Kalidou|KOULIBALY|DF|195|26|1
4|Kara MBODJI|Senegal|MBODJI|Serigne Modou Kara|KARA|DF|192|43|5
5|Idrissa Gana GUEYE|Senegal|GUEYE|Idrissa Gana|GANA|MF|174|55|1
6|Salif SANE|Senegal|SANE|Salif|S. SANE|MF|196|18|0
7|Moussa SOW|Senegal|SOW|Moussa|SOW|FW|180|46|19
8|Cheikhou KOUYATE|Senegal|KOUYATE|Cheikhou|C. KOUYATE|MF|189|48|3
9|Mame DIOUF|Senegal|DIOUF|Mame Biram|M. DIOUF|FW|185|44|10
10|Sadio MANE|Senegal|MANE|Sadio|MANE|FW|175|52|14
11|Cheikh NDOYE|Senegal|N'DOYE|Cheikh Tidiane|CH. NDOYE|MF|192|27|3
12|Youssouf SABALY|Senegal|SABALY|Youssouf|SABALY|DF|174|6|0
13|Alfred NDIAYE|Senegal|N'DIAYE|Alfred John Momar|A. NDIAYE|MF|186|16|1
14|Moussa KONATE|Senegal|KONATE|Moussa|KONATE|FW|180|26|9
15|Diafra SAKHO|Senegal|SAKHO|Diafra|SAKHO|FW|184|11|3
16|Khadim NDIAYE|Senegal|NDIAYE|Khadim|KH. NDIAYE|GK|185|42|0
17|Pape Alioune NDIAYE|Senegal|NDIAYE|Pape Alioune|P.A. NDIAYE|MF|181|16|1
18|Ismaila SARR|Senegal|SARR|Ismaila|ISMAÏLA|FW|175|13|3
19|Mbaye NIANG|Senegal|NIANG|Mbaye Hamady|NIANG|FW|184|8|0
20|Keita BALDE|Senegal|BALDE DIAO|Keita|KEÏTA BALDE|FW|181|18|3
21|Lamine GASSAMA|Senegal|GASSAMA|Lamine|GASSAMA|DF|181|39|0
22|Moussa WAGUE|Senegal|WAGUE|Moussa|M. WAGUE|DF|177|7|0
23|Alfred GOMIS|Senegal|GOMIS|Amigo Alfred Junior|GOMIS|GK|196|5|0
1|Vladimir STOJKOVIC|Serbia|STOJKOVIĆ|Vladimir|STOJKOVIĆ|GK|195|81|0
2|Antonio RUKAVINA|Serbia|RUKAVINA|Antonio|RUKAVINA|DF|177|47|0
3|Dusko TOSIC|Serbia|TOŠIĆ|Duško|TOŠIĆ|DF|185|24|1
4|Luka MILIVOJEVIC|Serbia|MILIVOJEVIĆ|Luka|MILIVOJEVIĆ|MF|186|28|1
5|Uros SPAJIC|Serbia|SPAJIC|Uros|SPAJIĆ|DF|188|5|0
6|Branislav IVANOVIC|Serbia|IVANOVIĆ|Branislav|IVANOVIĆ|DF|185|103|13
7|Andrija ZIVKOVIC|Serbia|ŽIVKOVIĆ|Andrija|ŽIVKOVIĆ|MF|169|10|0
8|Aleksandar PRIJOVIC|Serbia|PRIJOVIĆ|Aleksandar|PRIJOVIĆ|FW|191|9|1
9|Aleksandar MITROVIC|Serbia|MITROVIC|Aleksandar|MITROVIĆ|FW|189|38|16
10|Dusan TADIC|Serbia|TADIĆ|Dušan|TADIĆ|MF|181|53|12
11|Aleksandar KOLAROV|Serbia|KOLAROV|Aleksandar|KOLAROV|DF|187|76|10
12|Predrag RAJKOVIC|Serbia|RAJKOVIĆ|Predrag|RAJKOVIĆ|GK|191|8|0
13|Milos VELJKOVIC|Serbia|VELJKOVIĆ|Miloš|VELJKOVIĆ|DF|188|2|0
14|Milan RODIC|Serbia|RODIĆ|Milan|RODIĆ|DF|185|1|0
15|Nikola MILENKOVIC|Serbia|MILENKOVIĆ|Nikola|MILENKOVIĆ|DF|195|3|0
16|Marko GRUJIC|Serbia|GRUJIĆ|Marko|GRUJIĆ|MF|190|7|0
17|Filip KOSTIC|Serbia|KOSTIĆ|Filip|KOSTIĆ|MF|184|23|2
18|Nemanja RADONJIC|Serbia|RADONJIĆ|Nemanja|RADONJIĆ|FW|185|3|0
19|Luka JOVIC|Serbia|JOVIĆ|Luka|JOVIĆ|FW|181|1|0
20|Sergej MILINKOVIC-SAVIC|Serbia|MILINKOVIĆ-SAVIĆ|Sergej|SERGEJ|MF|192|4|0
21|Nemanja MATIC|Serbia|MATIĆ|Nemanja|MATIĆ|MF|194|40|2
22|Adem LJAJIC|Serbia|LJAJIĆ|Adem|LJAJIĆ|MF|182|30|6
23|Marko DMITROVIC|Serbia|DMITROVIĆ|Marko|DMITROVIĆ|GK|194|2|0
1|David DE GEA|Spain|DE GEA QUINTANA|David|DE GEA|GK|190|29|0
2|Dani CARVAJAL|Spain|CARVAJAL RAMOS|Daniel|CARVAJAL|DF|173|15|0
3|Gerard PIQUE|Spain|PIQUÉ BERNABEU|Gerard|PIQUÉ|DF|194|98|5
4|NACHO|Spain|FERNÁNDEZ IGLESIAS|José Ignacio|NACHO|DF|179|17|0
5|Sergio BUSQUETS|Spain|BUSQUETS BURGOS|Sergio|SERGIO|MF|189|103|2
6|Andres INIESTA|Spain|INIESTA LUJAN|Andres|A. INIESTA|MF|171|127|13
7|SAUL|Spain|ÑIGUEZ ESCLAPEZ|Saúl|SAÚL|MF|183|10|0
8|KOKE|Spain|RESURRECCIÓN MERODIO|Jorge|KOKE|MF|176|40|0
9|RODRIGO|Spain|MORENO MACHADO|Rodrigo|RODRIGO M.|FW|182|6|2
10|THIAGO|Spain|ALCANTARA DO NASCIMENTO|Thiago|THIAGO|MF|174|29|2
11|Lucas VAZQUEZ|Spain|VÁZQUEZ IGLESIAS|Lucas|LUCAS V.|FW|173|7|0
12|Alvaro ODRIOZOLA|Spain|ODRIOZOLA ARZALLUS|Álvaro|ODRIOZOLA|DF|178|4|1
13|Kepa ARRIZABALAGA|Spain|ARRIZABALAGA REVUELTA|Kepa|ARRIZABALAGA|GK|189|1|0
14|Cesar AZPILICUETA|Spain|AZPILICUETA TANCO|César|AZPILICUETA|DF|178|22|0
15|Sergio RAMOS|Spain|RAMOS GARCIA|Sergio|RAMOS|DF|183|152|13
16|Nacho MONREAL|Spain|MONREAL ERASO|Ignacio|MONREAL|DF|179|22|1
17|Iago ASPAS|Spain|ASPAS JUNCAL|Iago|IAGO ASPAS|FW|176|10|5
18|Jordi ALBA|Spain|ALBA RAMOS|Jordi|JORDI ALBA|DF|170|62|8
19|Diego COSTA|Spain|DA SILVA COSTA|Diego|DIEGO COSTA|FW|185|20|7
20|Marco ASENSIO|Spain|ASENSIO WILLEMSEN|Marco|ASENSIO|MF|182|12|0
21|David SILVA|Spain|JIMENEZ SILVA|David Josue|SILVA|FW|170|121|35
22|ISCO|Spain|ALARCON SUAREZ|Francisco Roman|ISCO|MF|176|28|10
23|Pepe REINA|Spain|REINA PAEZ|José Manuel|REINA|GK|188|36|0
1|Robin OLSEN|Sweden|OLSEN|Robin Patrick|OLSEN|GK|198|18|0
2|Mikael LUSTIG|Sweden|LUSTIG|Carl Mikael|LUSTIG|DF|189|66|6
3|Victor LINDELOF|Sweden|NILSSON LINDELÖF|Victor Jörgen|LINDELÖF|DF|187|21|1
4|Andreas GRANQVIST|Sweden|GRANQVIST|Andreas|GRANQVIST|DF|192|72|6
5|Martin OLSSON|Sweden|OLSSON|Martin Tony Waikwa|OLSSON|DF|177|43|5
6|Ludwig AUGUSTINSSON|Sweden|AUGUSTINSSON|Hans Carl Ludwig|AUGUSTINSSON|DF|181|15|0
7|Sebastian LARSSON|Sweden|LARSSON|Bengt Ulf Sebastian|LARSSON|MF|178|100|6
8|Albin EKDAL|Sweden|EKDAL|Albin|EKDAL|MF|186|34|0
9|Marcus BERG|Sweden|BERG|Bengt Erik Markus|BERG|FW|183|57|18
10|Emil FORSBERG|Sweden|FORSBERG|Emil Peter|FORSBERG|MF|179|36|6
11|John GUIDETTI|Sweden|GUIDETTI|John Alberto|GUIDETTI|FW|185|20|1
12|Karl-Johan JOHNSSON|Sweden|JOHNSSON|Karl-Johan Anton|JOHNSSON|GK|187|5|0
13|Gustav SVENSSON|Sweden|SVENSSON|Karl Gustav Johan|SVENSSON|MF|183|13|0
14|Filip HELANDER|Sweden|HELANDER|Filip Viktor|HELANDER|DF|192|4|0
15|Oscar HILJEMARK|Sweden|HILJEMARK|Oscar Karl Niclas|HILJEMARK|MF|184|22|2
16|Emil KRAFTH|Sweden|KRAFT|Emil Henry Kristoffer|KRAFTH|DF|181|13|0
17|Viktor CLAESSON|Sweden|CLAESSON|Viktor Johan Anton|CLAESSON|MF|183|22|3
18|Pontus JANSSON|Sweden|JANSSON|Pontus Sven Gustav|JANSSON|DF|194|15|0
19|Marcus ROHDEN|Sweden|ROHDÉN|Marcus Christer|ROHDÉN|MF|182|12|1
20|Ola TOIVONEN|Sweden|TOIVONEN|Nils Ola|TOIVONEN|FW|192|59|13
21|Jimmy DURMAZ|Sweden|DURMAZ|Jakup Jimmy|DURMAZ|MF|180|45|3
22|Isaac Kiese THELIN|Sweden|THELIN|Isaac Kiese|KIESE THELIN|FW|189|20|2
23|Kristoffer NORDFELDT|Sweden|NORDFELDT|Bo Kristoffer|NORDFELDT|GK|190|8|0
1|Yann SOMMER|Switzerland|SOMMER|Yann|SOMMER|GK|183|35|0
2|Stephan LICHTSTEINER|Switzerland|LICHTSTEINER|Stephan|LICHTSTEINER|DF|181|100|8
3|Francois MOUBANDJE|Switzerland|MOUBANDJE|Jacques Francois|MOUBANDJE|DF|180|18|0
4|Nico ELVEDI|Switzerland|ELVEDI|Nico|ELVEDI|DF|187|6|0
5|Manuel AKANJI|Switzerland|AKANJI|Manuel Obafemi|AKANJI|DF|186|7|0
6|Michael LANG|Switzerland|LANG|Michael Rico|LANG|DF|185|24|2
7|Breel EMBOLO|Switzerland|EMBOLO|Breel Donald|EMBOLO|FW|184|25|3
8|Remo FREULER|Switzerland|FREULER|Remo Marco|FREULER|MF|181|10|0
9|Haris SEFEROVIC|Switzerland|SEFEROVIC|Haris|SEFEROVIC|FW|186|51|12
10|Granit XHAKA|Switzerland|XHAKA|Granit|XHAKA|MF|183|62|9
11|Valon BEHRAMI|Switzerland|BEHRAMI|Valon|BEHRAMI|MF|184|79|2
12|Yvon MVOGO|Switzerland|MVOGO NGANOMA|Yvon Landry|MVOGO|GK|186|0|0
13|Ricardo RODRIGUEZ|Switzerland|RODRIGUEZ ARAYA|Ricardo Ivan|RODRIGUEZ|DF|180|53|5
14|Steven ZUBER|Switzerland|ZUBER|Steven|ZUBER|MF|182|12|3
15|Blerim DZEMAILI|Switzerland|DZEMAILI|Blerim|DZEMAILI|MF|180|65|10
16|Gelson FERNANDES|Switzerland|TAVARES FERNANDES|Gelson Da Conceicao|G. FERNANDES|MF|180|67|2
17|Denis ZAKARIA|Switzerland|ZAKARIA LAKO LADO|Denis Lemi|ZAKARIA|MF|189|10|0
18|Mario GAVRANOVIC|Switzerland|GAVRANOVIC|Mario|GAVRANOVIC|FW|175|14|5
19|Josip DRMIC|Switzerland|DRMIC|Josip|DRMIC|FW|184|29|9
20|Johan DJOUROU|Switzerland|DJOUROU GBADJERE|Danon Issouf Johannes|DJOUROU|DF|192|74|2
21|Roman BUERKI|Switzerland|BÜRKI|Roman|BÜRKI|GK|188|9|0
22|Fabian SCHAER|Switzerland|SCHÄR|Fabian Lukas|SCHÄR|DF|186|39|7
23|Xherdan SHAQIRI|Switzerland|SHAQIRI|Xherdan|SHAQIRI|MF|169|70|20
1|Farouk BEN MUSTAPHA|Tunisia|BEN MUSTAPHA|Farouk|BEN MUSTAPHA|GK|192|14|0
2|Syam BEN YOUSSEF|Tunisia|BEN YOUSSEF|Syam Habib|BEN YOUSSEF .S|DF|189|42|1
3|Yohan BEN ALOUANE|Tunisia|BEN ALOUANE|Yohan|BEN ALOUANE|DF|185|3|0
4|Yassine MERIAH|Tunisia|MERIAH|Yassine|MERIAH|DF|183|16|1
5|Oussama HADDADI|Tunisia|HADDADI|Oussama|HADDADI|DF|185|7|1
6|Rami BEDOUI|Tunisia|BEDOUI|Rami|BEDOUI|DF|187|10|3
7|Saifeddine KHAOUI|Tunisia|KHAOUI|Saifeddine|KHAOUI|FW|180|4|0
8|Fakhreddine BEN YOUSSEF|Tunisia|BEN YOUSSEF|Fakhreddine|BEN YOUSSEF .F|FW|189|38|0
9|Anice BADRI|Tunisia|BADRI|Anice|BADRI|MF|178|9|2
10|Wahbi KHAZRI|Tunisia|KHAZRI|Wahbi|KHAZRI|FW|182|36|12
11|Dylan BRONN|Tunisia|BRONN|Dylan Daniel Mahmoud|BRONN|DF|186|5|0
12|Ali MAALOUL|Tunisia|MAALOUL|Ali|MAALOUL|DF|170|46|8
13|Ferjani SASSI|Tunisia|SASSI|Ferjani|SASSI|MF|186|40|3
14|Mohamed BEN AMOR|Tunisia|BEN AMOR|Mohamed Amine|BEN AMOR|MF|180|26|2
15|Ahmed KHALIL|Tunisia|KHALIL|Ahmed|KHALIL|FW|187|2|0
16|Aymen MATHLOUTHI|Tunisia|MATHLOUTHI|Aymen|MATHLOUTHI|GK|182|71|0
17|Ellyes SKHIRI|Tunisia|SKHIRI|Ellyes Joris|SKHIRI|MF|185|4|0
18|Bassem SRARFI|Tunisia|SRARFI|Bassem|SRARFI|FW|176|4|0
19|Saber KHALIFA|Tunisia|KHALIFA|Saber|KHALIFA|FW|185|43|7
20|Ghaylen CHAALELI|Tunisia|CHAALELI|Ghaylen|CHAALELI|FW|179|6|1
21|Hamdi NAGUEZ|Tunisia|NAGUEZ|Hamdi|NAGUEZ|DF|186|16|5
22|Mouez HASSEN|Tunisia|HASSEN|Mouez|HASSEN|GK|186|2|0
23|Naim SLITI|Tunisia|SLITI|Naim|SLITI|FW|173|18|3
1|Fernando MUSLERA|Uruguay|MUSLERA MICOL|Nestor Fernando|F. MUSLERA|GK|190|97|0
2|Jose GIMENEZ|Uruguay|GIMENEZ DE VARGAS|José Maria|J.M. GIMENEZ|DF|185|42|5
3|Diego GODIN|Uruguay|GODIN LEAL|Diego Roberto|D. GODIN|DF|185|116|8
4|Guillermo VARELA|Uruguay|VARELA OLIVERA|Guillermo|G. VARELA|DF|173|3|0
5|Carlos SANCHEZ|Uruguay|SÁNCHEZ ARCOSA|Carlos Andrés|C. SANCHEZ|MF|171|35|1
6|Rodrigo BENTANCUR|Uruguay|BENTANCUR COLMAN|Rodrigo|R. BENTANCUR|MF|187|7|0
7|Cristian RODRIGUEZ|Uruguay|RODRIGUEZ BAROTTI|Cristian Gabriel|C. RODRIGUEZ|MF|178|105|11
8|Nahitan NANDEZ|Uruguay|NANDEZ ACOSTA|Nahitan Michel|N. NANDEZ|MF|171|12|0
9|Luis SUAREZ|Uruguay|SUAREZ DIAZ|Luis Alberto|L. SUAREZ|FW|182|98|51
10|Giorgian DE ARRASCAETA|Uruguay|DE ARRASCAETA BENEDETTI|Giorgian Daniel|G. DE ARRASCAETA|FW|172|14|2
11|Cristhian STUANI|Uruguay|STUANI CURBELO|Cristhian Ricardo|C. STUANI|FW|186|41|5
12|Martin CAMPANA|Uruguay|CAMPAÑA DELGADO|Martín Nicolas|M. CAMPAÑA|GK|184|1|0
13|Gaston SILVA|Uruguay|SILVA PERDOMO|Gaston Alexis|G. SILVA|DF|185|17|0
14|Lucas TORREIRA|Uruguay|TORREIRA DI PASCUA|Lucas Sebastian|L. TORREIRA|MF|168|3|0
15|Matias VECINO|Uruguay|VECINO FALERO|Matias|M. VECINO|MF|189|22|1
16|Maximiliano PEREIRA|Uruguay|PEREIRA PAEZ|Victorio Maximiliano|M. PEREIRA|DF|173|125|3
17|Diego LAXALT|Uruguay|LAXALT SUAREZ|Diego Sebastian|D. LAXALT|MF|178|6|0
18|Maximiliano GOMEZ|Uruguay|GÓMEZ GONZÁLEZ|Maximiliano|M. GOMEZ|FW|186|5|0
19|Sebastian COATES|Uruguay|COATES NION|Sebastián|S. COATES|DF|196|30|1
20|Jonathan URRETAVISCAYA|Uruguay|URRETAVISCAYA DA LUZ|Jonathan Matias|J. URRETAVISCAYA|FW|172|4|0
21|Edinson CAVANI|Uruguay|CAVANI GOMEZ|Edinson Roberto|E. CAVANI|FW|188|101|42
22|Martin CACERES|Uruguay|CÁCERES SILVA|José Martín|M. CACERES|DF|178|76|4
23|Martin SILVA|Uruguay|SILVA LEITES|Martin Andres|M. SILVA|GK|187|11|0
